Ano,Município,Parcela_das_moradias_sem_banheiro_de_uso_exclusivo,Parcela_da_população_que_não_recebe_água_com_regularidade_adequada,Parcela_da_população_total_que_mora_em_domicílios_sem_acesso_à_água_tratada,Volume_de_água_consumida_per_capita,Volume_de_esgoto_coletado,Volume_de_esgoto_tratado,Volume_de_esgoto_não_tratado,Tarifa_média_de_água,Tarifa_média_de_coleta_de_esgoto,Tarifa_média_ponderada_dos_serviços_de_saneamento,Custo_total_dos_operadores_com_os_serviços_de_saneamento,Custo_total_dos_operadores_com_produtos_químicos,Custo_total_dos_operadores_com_energia_elétrica,Internações_por_doenças_associadas_à_falta_de_saneamento,Taxa_de_incidência_de_internações_por_doenças_associadas_à_falta_de_saneamento,Atraso_escolar_das_pessoas_que_moram_em_residências_com_saneamento_básico,Atraso_escolar_das_pessoas_que_moram_em_residências_sem_saneamento,Investimentos_per_capita_em_saneamento,Renda_induzida_gerada_pelas_operação_de_saneamento,Renda_total_gerada_pelas_operação_de_saneamento,Redução_dos_custos_com_a_saúde
2013,Niterói (Município),0.005,-,0,226.96,40927.7,40927.7,11.3,3.74,3.08,3.43,267765168.33,1263835.95,9686843.41,140,2.83,2.68,3.48,78.57,163711116.76,547244124.44,-
2012,Niterói (Município),0.007,-,0,222.93,40018.0,40018.0,0.8,3.57,2.9,3.25,235116804.08,481341.08,9997530.93,159,3.23,3.09,4.0,47.54,160962315.74,538055590.16,-
2011,Niterói (Município),0.008,-,0,215.31,40295.0,40295.0,-1809.36,3.41,2.62,3.02,214155083.67,329037.92,9518031.7,221,4.51,3.55,4.6,40.84,156817374.74,524200119.29,-
2010,Niterói (Município),0.009,-,0,203.79,40839.0,40839.0,-4572.56,3.15,2.44,2.79,188827542.06,165970.73,9896531.56,262,5.37,4.08,5.3,44.88,153418950.68,512840062.42,-
2019,Sinop (Município),0.0,-,0.171,157.74,1570.0,1570.0,6663.26,3.99,2.94,3.84,31867052.78,563699.65,4130714.21,33,2.31,-,1.95,53.43,17537609.3,58623713.73,-
2018,Sinop (Município),0.0,-,0.0,153.27,1212.62,1212.62,6615.61,3.47,2.86,3.39,33383780.08,329748.63,3526216.27,17,1.21,-,1.87,48.11,14215837.51,47519885.65,-
2017,Sinop (Município),0.0,-,0.0,155.76,810.64,810.64,6914.23,3.38,5.4,3.55,29762388.59,338770.87,3258938.55,19,1.4,0,2.18,91.14,13916625.11,46519695.65,-
2016,Sinop (Município),0.0,-,0.0,145.9,1316.12,1316.12,5763.19,2.87,0.0,2.48,22369484.12,229664.84,3143008.5,37,2.78,0,2.54,270.08,10535406.99,35217153.76,-
2015,Sinop (Município),0.0,-,0.0,103.95,0.0,0.0,4929.03,2.58,0.0,2.58,16579973.01,147286.16,3547667.98,58,4.46,0,2.97,31.2,8218263.97,27471541.09,-
2014,Sinop (Município),0.0,-,0.0,109.37,0.0,0.0,5062.5,0.38,0.0,0.38,1503131.0,21056.76,244058.39,53,4.18,0,3.48,6.97,1214199.95,4058757.91,-
2013,Sinop (Município),0.0,-,0.0,222.29,0.0,0.0,10031.0,1.29,0.0,1.29,13011989.32,137614.29,2317152.17,81,6.55,0,4.07,98.87,7028468.58,23494361.33,-
2012,Sinop (Município),0.002,-,0.175,146.06,0.0,0.0,6335.0,1.25,0.0,1.25,8205100.31,11413.11,2381452.0,89,7.49,0,4.75,128.17,4647742.97,15536208.42,-
2011,Sinop (Município),0.007,-,0.181,148.19,0.0,0.0,6275.0,1.5,0.0,1.46,7121633.0,149512.0,2127654.0,38,3.28,0,5.56,44.75,5773067.88,19297879.96,-
2010,Sinop (Município),0.012,-,0.171,152.61,0.0,0.0,6300.0,1.17,0.0,1.17,7550682.0,111065.0,1266821.0,131,11.58,4.94,6.5,86.57,5163119.08,17258978.11,-
2019,Itapema (Município),0.0,-,0.009,226.48,3042.59,3042.59,2356.41,6.34,6.81,6.51,48755612.54,1524651.22,1815026.12,30,4.59,0.99,1.98,741.49,22014591.3,73589112.21,-
2018,Itapema (Município),0.0,-,0.025,199.72,2767.72,2767.72,1842.97,6.82,6.76,6.8,44494355.79,1566431.25,1396508.31,12,1.9,1.01,2.02,14.59,20315259.36,67908682.92,-
2017,Itapema (Município),0.0,-,0.025,198.16,2609.0,2609.0,1816.61,6.84,6.79,6.82,34654653.61,1271509.84,1199928.38,10,1.63,1.19,2.4,165.49,20085659.88,67141190.99,-
2016,Itapema (Município),0.0,-,0.025,201.46,1985.29,1985.29,2364.02,6.85,8.66,7.42,27812299.82,973613.43,1205625.18,17,2.87,1.4,2.85,297.75,20383032.07,68135229.67,-
2015,Itapema (Município),0.0,-,0.025,199.64,1929.09,1929.09,2230.92,3.98,3.86,3.93,24197147.99,743130.98,1062061.17,11,1.93,1.65,3.39,311.65,16232965.72,54262626.06,-
2014,Itapema (Município),0.0,-,0.025,198.74,1546.24,1546.24,2444.57,3.66,3.64,3.65,26328298.56,1080267.59,795577.89,32,5.82,1.93,4.03,277.74,15418626.73,51540500.45,-
2013,Itapema (Município),0.001,-,0.025,194.01,1929.82,1929.82,1817.84,3.59,3.74,3.64,22688939.54,853655.49,601216.16,16,3.02,2.27,4.79,4.4,15708230.07,52508569.84,-
2012,Itapema (Município),0.003,-,0.025,206.14,1707.84,1707.84,1964.45,3.39,2.03,2.75,21243343.53,824818.85,542432.77,34,6.97,2.67,5.7,7.62,15203671.87,50821961.68,-
2011,Itapema (Município),0.004,-,0.025,196.43,2137.66,2137.66,1255.47,3.19,3.02,3.13,11749222.38,771000.96,591935.36,14,2.96,3.14,6.77,34.26,14694419.33,49119661.51,-
2010,Itapema (Município),0.006,-,0.025,198.55,2384.49,2384.49,934.4,2.85,2.63,2.77,10816174.0,667603.44,468109.8,15,3.28,3.69,8.05,145.61,13472746.54,45035923.84,-
2019,Rio das Ostras (Município),0.0,-,0.045,165.74,2872.7,2872.7,6242.42,5.43,-,19.49,72357542.63,483087.28,1500313.36,29,1.92,1.4,2.13,165.42,44857600.66,149947412.77,-
2018,Rio das Ostras (Município),0.0,-,0.081,115.44,2617.93,2617.93,3533.47,4.09,-,17.04,64863849.65,414820.87,1218775.18,20,1.37,1.44,2.19,89.86,41974899.06,140311283.31,-
2017,Rio das Ostras (Município),0.0,-,0.057,115.54,2023.93,2023.93,3927.07,3.92,0,14.31,64760333.08,137015.92,118934.73,14,0.99,1.66,2.52,126.4,35627209.58,119092591.26,-
2016,Rio das Ostras (Município),0.0,-,0.058,119.68,1587.39,1587.39,4380.61,3.57,0,14.36,54828243.71,130151.48,1546473.33,29,2.12,1.91,2.9,214.8,37172699.95,124258767.75,-
2015,Rio das Ostras (Município),0.001,-,0.046,134.89,1324.58,1324.58,5173.42,3.32,0,17.42,90949483.69,491221.28,1518361.94,63,4.77,2.19,3.34,447.6,53085241.88,177450299.58,-
2014,Rio das Ostras (Município),0.002,-,0.037,140.01,2531.0,2531.0,3968.0,3.51,0,18.52,86877071.64,316938.59,1038954.18,16,1.26,2.52,3.85,58.94,60714933.46,202954394.66,-
2013,Rio das Ostras (Município),0.003,-,0.002,145.58,2454.92,2454.92,4038.08,2.94,0,14.83,44586048.82,656919.2,780570.18,43,3.52,2.89,4.43,79.74,52388205.64,175120286.85,-
2012,Rio das Ostras (Município),0.004,-,0.002,152.4,1853.82,1853.82,4606.18,4.99,0.25,3.94,41368240.07,554911.35,841360.54,21,1.81,3.33,5.09,316.43,19138189.27,63974040.6,-
2011,Rio das Ostras (Município),0.005,-,0.009,156.32,1478.0,1478.0,4855.0,4.44,0,4.44,47431365.91,461371.16,913.91,144,12.97,3.82,5.86,18.83,17755382.09,59351672.13,-
2010,Rio das Ostras (Município),0.006,-,0.083,163.54,1386.0,1386.0,4922.0,4.43,0,4.43,49728364.01,419563.15,2379869.42,80,7.57,4.4,6.74,16.89,19094096.94,63826651.3,-
2019,Cosmópolis (Município),0.0,-,0.031,216.9,4423,0,5720.0,1.86,1.03,1.45,9488371.79,837216.46,2678340.98,9,1.25,0.73,0.83,16.57,5110341.3,17082555.56,-
2018,Cosmópolis (Município),0.0,-,0.056,227.67,5800,0,5900.0,2.1,1.04,1.58,8077185.79,727031.64,2510487.55,5,0.7,0.73,0.83,15.76,5490072.22,18351898.29,-
2017,Cosmópolis (Município),0.0,-,0.045,237.94,5700,0,6000.0,1.63,0.81,1.22,6500000.0,456169.24,2306307.05,9,1.3,0.88,0.99,1.99,3125770.4,10448645.87,-
2016,Cosmópolis (Município),0.0,-,0.036,261.23,5500,0,6480.0,1.11,0.69,0.93,5900000.0,900000.0,2413293.64,39,5.74,1.06,1.18,0.67,3585263.78,11984613.97,-
2015,Cosmópolis (Município),0.0,-,0.027,265.74,5500,0,6480.0,1.21,0.72,0.99,5850000.0,827537.91,2302023.13,83,12.42,1.27,1.4,1.3,4099094.83,13702218.92,-
2014,Cosmópolis (Município),0.001,-,0.116,253.43,5500,0,6070.68,0.76,0.74,0.75,4000000.0,499329.96,1357862.41,60,9.14,1.52,1.66,3.35,3461882.48,11572182.06,-
2013,Cosmópolis (Município),0.002,-,0.131,259.58,5675,0,6103.0,0.67,0.36,0.52,3593055.74,416108.3,1271973.38,32,4.97,1.82,1.97,18.14,3352633.55,11206991.0,-
2012,Cosmópolis (Município),0.003,-,0.1,208.8,4324,0,4650.0,0.82,0.44,0.64,3672005.1,328033.9,1387049.39,36,5.9,2.17,2.34,159.71,3368443.08,11259838.2,-
2011,Cosmópolis (Município),0.003,-,0.087,212.55,4235,0,4650.0,0.82,0.44,0.64,7123567.99,273037.0,4653000.0,24,4.0,2.6,2.78,202.69,3588986.16,11997056.93,-
2010,Cosmópolis (Município),0.004,-,0.071,215.72,4235,0,4632.0,0.68,0.42,0.56,4076078.87,377000.0,1110240.0,55,9.35,3.12,3.3,15.21,3700404.92,12369501.16,-
2019,União (Município),0.259,-,0.496,44.72,420.02,420.02,306.12,3.65,2.77,3.28,5513206.15,279056.63,605276.32,77,17.31,1.64,2.16,0.01,2125285.06,7104280.91,-
2018,União (Município),0.279,-,0.551,46.31,401.27,401.27,349.21,3.3,1.79,2.65,4860798.6,219111.62,529473.96,124,27.93,1.64,2.16,0.05,1704819.6,5698773.09,-
2017,União (Município),0.3,-,0.479,45.15,0.0,0.0,721.15,2.98,0.0,2.98,3903243.45,223627.5,391118.63,161,36.79,1.91,2.48,0.19,1058838.69,3539425.18,-
2016,União (Município),0.321,-,0.519,46.46,0.0,0.0,740.83,2.84,0.0,2.84,2685821.12,209701.46,353290.86,326,74.62,2.22,2.85,22.0,1053616.83,3521969.87,-
2015,União (Município),0.341,-,0.52,45.42,0.0,0.0,722.86,2.56,0.0,2.56,2440215.02,171779.06,379209.01,448,102.74,2.58,3.27,123.02,1004927.53,3359214.05,-
2014,União (Município),0.362,-,0.53,44.49,0.0,0.0,706.54,2.45,0.0,2.45,2908329.5,286715.05,250727.03,543,124.8,2.99,3.75,159.0,1011327.91,3380608.9,-
2013,União (Município),0.382,-,0.549,44.19,0.0,0.0,700.04,2.3,0.0,2.3,2380012.82,128911.78,247068.15,527,121.42,3.47,4.3,138.28,1007825.1,3368899.89,-
2012,União (Município),0.403,-,0.619,42.1,0.0,0.0,662.11,2.37,0.0,2.37,1736252.54,65846.31,259042.49,593,137.63,4.03,4.93,170.45,1055395.53,3527915.59,-
2011,União (Município),0.424,-,0.571,34.93,0.0,0.0,546.56,2.6,0.0,2.6,1489317.54,59676.99,215043.08,554,129.22,4.67,5.65,0.0,942693.86,3151182.91,-
2010,União (Município),0.444,-,0.547,35.26,0.0,0.0,549.0,2.46,0.0,2.46,2351302.11,88343.96,247919.51,597,139.96,5.42,6.48,4.78,953281.82,3186575.74,-
2019,Dias d'Ávila (Município),0.0,-,0.265,59.85,1388.78,1388.78,382.64,5.24,4.03,4.78,26334073.63,403136.68,1995607.27,9,1.11,1.85,2.33,0.0,6237894.93,20851677.14,-
2018,Dias d'Ávila (Município),0.0,-,0.257,60.89,1764.05,1764.05,6.96,4.89,3.74,4.47,24672057.45,877888.26,1862605.9,6,0.75,1.8,2.27,0.0,5626442.11,18807747.74,-
2017,Dias d'Ávila (Município),0.0,-,0.266,62.24,1677.75,1677.75,121.01,3.8,2.98,3.47,23461637.62,1067123.2,2144489.36,11,1.36,2.05,2.6,26.75,5263134.96,17593305.46,-
2016,Dias d'Ávila (Município),0.0,-,0.252,69.11,1507.54,1507.54,407.3,3.12,2.3,2.77,19176513.69,219869.17,1504061.85,17,2.14,2.34,2.98,20.58,4861916.41,16252135.13,-
2015,Dias d'Ávila (Município),0.0,-,0.241,69.35,1477.6,1477.6,461.1,3.03,2.32,2.75,17159128.95,217967.21,1545347.05,13,1.67,2.66,3.41,35.43,5084912.66,16997554.17,-
2014,Dias d'Ávila (Município),0.0,-,0.235,72.02,1369.05,1369.05,640.8,2.75,2.16,2.55,13110421.1,650343.23,998344.2,13,1.7,3.03,3.9,28.83,5000439.94,16715183.62,-
2013,Dias d'Ávila (Município),0.001,-,0.264,69.71,1239.11,1239.11,671.72,2.89,2.12,2.63,15416360.67,356817.83,1100330.99,27,3.6,3.45,4.47,113.87,5046930.79,16870590.57,-
2012,Dias d'Ávila (Município),0.014,-,0.279,77.54,1137.24,1137.24,833.37,2.59,1.95,2.38,11201787.59,426299.51,897120.92,63,9.05,3.92,5.11,0.0,4781142.51,15982128.74,-
2011,Dias d'Ávila (Município),0.027,-,0.308,80.26,1086.62,1086.62,907.32,2.4,1.93,2.26,6453798.0,110662.0,839491.0,35,5.14,4.47,5.85,0.0,4684424.47,15658825.24,-
2010,Dias d'Ávila (Município),0.04,-,0.327,78.49,966.76,966.76,936.71,2.0,1.67,1.9,8278245.0,86472.0,865365.0,57,8.58,5.08,6.7,0.0,3939630.56,13169170.9,-
2019,Baldim (Município),0.0,-,0.454,79.72,304.01,0,227.71,5.24,-,5.24,1335602.11,13396.34,218349.37,0,0.0,1.15,1.24,17.06,475669.89,1590042.01,-
2018,Baldim (Município),0.0,-,0.448,79.25,304.01,0,227.11,4.96,-,4.97,1091449.71,4138.42,195063.84,1,1.27,1.14,1.23,10.07,456934.49,1527414.39,-
2017,Baldim (Município),0.002,-,0.457,83.62,304.01,0,245.72,4.03,0,4.03,998913.08,6884.96,151416.13,0,0.0,1.31,1.47,9.26,414447.08,1385389.91,-
2016,Baldim (Município),0.004,-,0.446,83.1,304.01,0,244.5,3.97,0,3.97,1231883.65,8907.61,181907.67,1,1.24,1.51,1.75,11.05,451603.07,1509592.84,-
2015,Baldim (Município),0.006,-,0.45,83.46,304.01,0,245.87,3.33,0,3.33,1306819.81,18325.0,194790.29,0,0.0,1.75,2.08,97.88,451593.15,1509559.66,-
2014,Baldim (Município),0.008,-,0.36,89.7,304.01,0,264.61,3.06,0,3.06,1094694.29,15576.61,135177.73,0,0.0,2.02,2.47,1.47,468839.19,1567208.75,-
2013,Baldim (Município),0.011,-,0.36,88.31,304.01,0,260.87,2.97,0,2.97,1052073.73,12483.88,109881.08,1,1.24,2.34,2.93,2.03,478359.13,1599031.46,-
2012,Baldim (Município),0.013,-,0.36,87.96,225.99,0,252.88,2.81,0,2.81,939152.71,3267.95,115411.81,1,1.27,2.71,3.49,6.39,466313.25,1558765.18,-
2011,Baldim (Município),0.015,-,0.36,84.03,0.0,0,242.16,2.7,0,2.7,651953.57,2706.7,36737.98,3,3.8,3.13,4.15,5.37,465500.03,1556046.79,-
2010,Baldim (Município),0.018,-,0.36,80.69,0.0,0,233.05,2.59,0,2.59,754021.35,4573.37,132941.07,0,0.0,3.62,4.93,9.02,465651.52,1556553.18,-
2019,Morada Nova (Município),0.089,-,0.047,112.71,61.0,61.0,2485.0,3.7,3.26,3.69,8906361.44,1005136.88,1065125.15,91,14.7,0.98,1.92,0.0,3833348.97,12813898.9,-
2018,Morada Nova (Município),0.109,-,0.049,110.79,60.0,60.0,2450.0,3.1,2.35,3.08,8100473.42,652144.55,1050785.52,109,17.56,0.98,1.91,0.0,3211112.48,10733922.49,-
2017,Morada Nova (Município),0.128,-,0.041,115.74,60.0,60.0,2540.0,2.53,0.97,2.5,7182764.0,322411.4,157985.39,128,20.8,1.14,2.21,0.0,2781674.95,9298423.36,-
2016,Morada Nova (Município),0.148,-,0.044,108.4,60.0,60.0,2382.0,2.56,1.3,2.53,6335444.61,683450.3,1383612.2,80,12.96,1.33,2.56,0.0,2748703.18,9188207.22,-
2015,Morada Nova (Município),0.168,-,0.063,110.07,60.0,60.0,2427.0,2.2,0.35,2.15,5543363.01,279221.5,1166894.47,112,18.09,1.55,2.96,1.48,2571916.17,8597253.76,-
2014,Morada Nova (Município),0.187,-,0.074,110.58,62.0,62.0,2444.0,2.13,0.94,2.1,3455535.62,230754.0,891991.38,87,14.01,1.81,3.42,0.99,2723507.19,9103983.51,-
2013,Morada Nova (Município),0.207,-,0.085,98.31,49.0,49.0,2186.0,1.98,0.88,1.95,3203900.08,207416.0,827545.85,88,14.13,2.1,3.95,0.1,2421351.73,8093955.57,-
2012,Morada Nova (Município),0.226,-,0.084,102.95,48.5,48.5,2270.5,1.75,0.7,1.73,3949378.73,202746.0,972531.53,44,7.13,2.45,4.56,0.56,2391873.46,7995417.3,-
2011,Morada Nova (Município),0.246,-,0.095,101.82,48.0,48.0,2252.0,1.64,0.0,1.64,2996649.24,191531.2,834720.54,2,0.32,2.85,5.27,0.21,2383250.69,7966593.6,-
2010,Morada Nova (Município),0.266,-,0.114,99.06,47.0,47.0,2197.0,1.51,0.0,1.51,2630563.09,144900.0,744717.46,18,2.9,3.32,6.09,0.72,2324622.69,7770615.3,-
2019,Leopoldina (Município),0.0,-,0.257,122.07,9465,983,1360.05,5.33,-,5.5,9219157.51,110076.09,752953.29,40,7.61,1.33,1.17,11.82,5095483.71,17032890.46,-
2018,Leopoldina (Município),0.0,-,0.252,118.86,9575,983,1296.07,4.96,-,5.12,7313842.07,107703.6,674853.66,27,5.14,1.32,1.16,8.79,4726196.0,15798456.7,-
2017,Leopoldina (Município),0.0,-,0.256,118.85,9685,983,1331.49,3.89,0,4.04,6779102.23,91276.36,528688.11,49,9.18,1.55,1.39,8.87,3916352.36,13091357.87,-
2016,Leopoldina (Município),0.0,-,0.254,118.29,9670,960,1339.23,4.16,0,4.3,8032401.01,96110.17,615564.06,83,15.59,1.82,1.66,7.05,4438860.7,14837968.76,-
2015,Leopoldina (Município),0.0,-,0.248,120.08,0,0,2329.27,3.49,0,3.49,7336626.77,96957.3,678314.69,33,6.21,2.15,1.97,1.83,4178286.86,13966937.48,-
2014,Leopoldina (Município),0.0,-,0.106,126.2,0,0,2442.87,3.21,0,3.21,6590117.91,83514.94,495253.64,51,9.62,2.53,2.34,1.83,4276034.24,14293681.81,-
2013,Leopoldina (Município),0.0,-,0.106,122.99,0,0,2375.33,3.07,0,3.07,6299822.48,81925.72,427362.35,50,9.45,2.98,2.79,1.8,4275500.73,14291898.43,-
2012,Leopoldina (Município),0.0,-,0.106,125.87,0,0,2356.27,2.97,0,2.97,6399884.53,71038.5,435300.17,31,6.04,3.52,3.31,1.72,4386816.74,14663999.2,-
2011,Leopoldina (Município),0.0,-,0.106,126.42,1530,0,2363.06,2.82,0,3.01,5927402.73,54170.65,394888.96,83,16.21,4.14,3.94,6.58,4773422.08,15956321.36,-
2010,Leopoldina (Município),0.003,-,0.106,125.43,0,0,2340.8,2.7,0,2.7,5648689.08,55441.73,370659.27,55,10.76,4.88,4.68,5.18,4588734.74,15338959.11,-
2019,São Sebastião (Município),0.005,-,0.267,151.44,3729.25,3729.25,1189.21,4.28,4.27,4.28,62849367.64,2411362.88,8064873.94,57,6.41,1.02,1.52,161.09,17714438.4,59214807.92,-
2018,São Sebastião (Município),0.006,-,0.263,149.83,3572.58,3572.58,1217.78,4.07,3.82,3.96,52673340.32,1506003.85,5650024.44,40,4.57,1.02,1.52,215.57,16068066.01,53711408.77,-
2017,São Sebastião (Município),0.007,-,0.262,152.07,3495.9,3495.9,1251.9,3.75,3.47,3.64,46626241.84,1310174.37,4131430.68,36,4.21,1.22,1.86,257.65,14970827.24,50043622.02,-
2016,São Sebastião (Município),0.007,-,0.277,150.03,3338.93,3338.93,1277.17,3.72,3.38,3.58,41775558.62,1650222.79,5732915.73,43,5.1,1.46,2.27,203.92,14656858.96,48994106.86,-
2015,São Sebastião (Município),0.008,-,0.342,151.48,3224.14,3224.14,1366.11,3.37,3.12,3.27,58205562.24,1428385.54,4742952.7,70,8.43,1.74,2.77,276.88,14120347.16,47200686.02,-
2014,São Sebastião (Município),0.009,-,0.112,166.74,3330.77,3330.77,1642.57,1.53,0.5,1.13,36543591.68,1403926.26,3054962.38,62,7.59,2.07,3.38,405.02,5443159.09,18195079.77,-
2013,São Sebastião (Município),0.01,-,0.112,160.53,2281.64,2281.64,2428.13,4.46,5.37,4.81,46656592.97,1759198.2,2611007.11,40,4.98,2.47,4.12,423.94,23390555.49,78188606.34,-
2012,São Sebastião (Município),0.011,-,0.112,182.23,2474.3,2474.29,2603.75,2.61,2.32,2.5,41679797.75,1425260.95,2753711.98,30,3.93,2.95,5.03,727.71,13854515.75,46312080.03,-
2011,São Sebastião (Município),0.011,-,0.112,173.23,2340.1,2340.1,2412.34,2.67,2.3,2.53,34964964.37,1333681.07,3189387.66,44,5.85,3.52,6.14,570.9,14371971.22,48041800.49,-
2010,São Sebastião (Município),0.012,-,0.106,162.92,2169.9,2169.9,2227.1,2.38,2.19,2.31,26366484.15,807696.51,2547248.35,48,6.49,4.2,7.5,338.61,13460063.92,44993529.1,-
2019,Mário Campos (Município),0.0,-,0.082,130.02,1254,769.15,-37.55,5.13,-,5.13,4132502.58,78805.59,567909.78,15,9.73,1.17,1.34,16.37,1500063.45,5014326.01,-
2018,Mário Campos (Município),0.0,-,0.078,122.74,-,-,-,4.67,-,4.67,3396337.53,59491.99,493983.46,3,1.97,1.16,1.32,20.43,1288522.49,4307199.01,-
2017,Mário Campos (Município),0.0,-,0.068,127.44,1034,0,63.58,3.77,0,3.77,2980247.54,44344.43,341976.69,1,0.67,1.37,1.57,12.41,1100870.98,3679928.34,-
2016,Mário Campos (Município),0.0,-,0.056,127.28,980,0,688.09,3.94,0,3.94,3445019.12,65378.79,444049.93,4,2.7,1.62,1.87,54.75,1222593.26,4086814.58,-
2015,Mário Campos (Município),0.002,-,0.056,126.39,980,0,674.66,3.35,0,3.35,2537554.88,12862.47,248457.58,6,4.1,1.91,2.22,129.0,1168237.74,3905118.06,-
2014,Mário Campos (Município),0.005,-,0.056,141.01,950,0,742.55,3.1,0,3.1,2034109.55,0.0,116101.21,4,2.77,2.25,2.65,2.23,1252424.34,4186532.19,-
2013,Mário Campos (Município),0.007,-,0.056,140.2,950,0,727.8,3.08,0,3.08,1572940.25,0.0,93255.2,11,7.73,2.65,3.14,3.46,1304203.56,4359616.79,-
2012,Mário Campos (Município),0.009,-,0.056,138.07,900,0,685.08,2.86,0,2.86,1376361.28,0.0,94083.19,0,0.0,3.12,3.74,10.03,1221374.92,4082741.99,-
2011,Mário Campos (Município),0.012,-,0.056,132.05,0,0,645.66,2.68,0,2.68,1491818.68,15274.9,170805.36,2,1.49,3.68,4.45,10.95,1161563.09,3882806.44,-
2010,Mário Campos (Município),0.014,-,0.056,122.45,0,0,589.6,2.52,0,2.52,1661327.03,22044.13,201755.15,3,2.27,4.33,5.29,19.18,1085896.24,3629871.64,-
2019,Ariquemes (Município),0.0,-,0.319,81.65,241.08,241.08,2973.34,3.81,0.48,3.55,10585923.69,485849.77,1536390.04,207,19.19,0.98,3.88,62.6,5359768.5,17916326.51,-
2018,Ariquemes (Município),0.0,-,0.087,76.08,125.95,125.95,2822.11,3.28,1.29,3.21,16644291.83,338958.25,1264064.25,124,11.68,1.0,3.95,53.18,3394725.9,11347694.89,-
2017,Ariquemes (Município),0.0,-,0.197,54.43,31.55,31.55,2100.97,3.1,1.27,3.05,10555161.87,587332.58,1151879.31,197,18.35,1.17,4.18,87.28,3146669.82,10518507.27,-
2016,Ariquemes (Município),0.0,-,0.608,56.84,137.02,137.02,2059.98,4.71,0.0,4.71,7470996.73,231492.74,1044615.55,247,23.32,1.37,4.42,0.05,4745507.04,15863008.55,-
2015,Ariquemes (Município),0.0,-,0.588,66.37,62.56,62.56,2466.51,4.42,0.0,4.42,6298129.16,175341.14,912029.05,174,16.67,1.6,4.66,6.84,5240965.44,17519198.44,-
2014,Ariquemes (Município),0.0,-,0.631,64.53,0.0,0.0,2422.83,4.64,0.0,4.64,5183605.37,276206.48,714684.33,217,21.1,1.87,4.92,0.0,5676178.75,18974004.54,-
2013,Ariquemes (Município),0.011,-,0.651,60.06,0.0,0.0,2220.12,4.1,0.0,4.1,5510519.09,101517.43,716036.5,151,14.91,2.19,5.19,2.37,5203504.59,17393976.47,-
2012,Ariquemes (Município),0.024,-,0.64,61.44,0.0,0.0,2079.84,3.79,0.0,3.79,6601104.76,134642.47,861692.72,90,9.7,2.56,5.48,112.97,4608495.66,15405014.78,-
2011,Ariquemes (Município),0.036,-,0.643,59.67,0.0,0.0,1994.28,3.77,0.0,3.77,5748531.6,233864.23,814448.43,116,12.67,2.99,5.78,103.46,4764949.0,15927998.02,-
2010,Ariquemes (Município),0.048,-,0.602,58.89,0.0,0.0,1942.2,3.96,0.0,3.96,7916445.74,135482.96,799829.12,264,29.22,4.3,6.1,3.44,5444954.84,18201082.5,-
2019,Diadema (Município),0.005,-,0.0,134.86,15805.45,8328.54,12537.22,3.96,4.2,4.08,139204039.0,3679980.38,12252328.31,299,7.05,1.08,1.43,93.37,80432840.06,268866281.1,-
2018,Diadema (Município),0.006,-,0.0,131.79,15351.39,7586.67,12661.19,3.48,3.7,3.59,127250613.26,4844708.59,13489703.67,249,5.92,1.07,1.42,38.48,71652686.21,239516486.74,-
2017,Diadema (Município),0.007,-,0.0,131.56,15125.3,3716.05,16349.25,3.45,3.33,3.39,105641222.61,228898.58,6781930.15,217,5.19,1.27,1.69,24.79,69868243.65,233551554.58,-
2016,Diadema (Município),0.007,-,0.0,128.17,14675.36,4268.38,15155.13,2.81,2.84,2.82,119353703.32,2808545.21,12520308.94,311,7.49,1.51,2.01,22.68,59225224.41,197974680.76,-
2015,Diadema (Município),0.008,-,0.0,120.99,13717.46,4080.36,14132.58,2.3,2.06,2.18,106995432.98,3433395.03,10531348.76,307,7.44,1.81,2.38,18.69,47032258.85,157216735.32,-
2014,Diadema (Município),0.009,-,0.0,106.25,11216.82,2388.65,13496.18,2.16,2.17,2.17,97710334.63,2883121.57,6463211.32,305,7.45,2.16,2.83,59.0,41235882.2,137840940.17,-
2013,Diadema (Município),0.01,-,0.04,148.08,19738.43,0.0,19023.36,2.7,2.85,2.74,106057251.86,0.0,1842727.05,266,6.54,2.57,3.36,28.86,62087662.47,207543074.41,-
2012,Diadema (Município),0.011,-,0.006,157.31,19982.36,0.0,19516.43,2.52,2.67,2.56,114346628.83,0.0,1988752.32,248,6.34,3.07,3.99,33.19,62392425.87,208561820.02,-
2011,Diadema (Município),0.011,-,0.005,158.5,18863.3,2451.0,17093.8,2.28,2.5,2.35,90268882.47,0.0,1797724.47,254,6.54,3.66,4.74,32.39,61423830.84,205324056.12,-
2010,Diadema (Município),0.012,-,0.0,156.8,20495.0,0.0,18956.0,2.17,2.1,2.11,80938327.78,0.0,1829361.2,319,8.26,4.37,5.63,34.46,61586427.08,205867573.52,-
2019,Pirapora do Bom Jesus (Município),0.0,-,0.175,103.59,350.01,124.93,589.52,3.94,3.65,3.83,7020713.31,8214.08,1502286.33,5,2.65,0.99,1.35,139.77,2239371.12,7485641.24,-
2018,Pirapora do Bom Jesus (Município),0.0,-,0.176,100.42,335.74,144.79,537.1,3.3,3.38,3.33,6324871.48,5898.16,1273266.5,4,2.15,0.98,1.34,42.82,1912370.74,6392563.16,-
